DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
São Roque                                                 ROBERT MIGUEL ANDRADE DE CASTRO                     PPD/PSD.CDS-PP
Funchal (São Pedro)                                       MANUEL ANTÓNIO MARQUES MADAMA DE SOUSA FILIPE       PPD/PSD.CDS-PP
São Martinho                                              MARCO PAULO TEIXEIRA GONÇALVES                      PPD/PSD.CDS-PP
São Gonçalo                                               TIAGO MIGUEL REIS FERREIRA DE FREITAS               PPD/PSD.CDS-PP
Santo António                                             MARCELO NUNO GONÇALVES DE GOUVEIA                   PPD/PSD.CDS-PP
Funchal (Santa Maria Maior)                               CELSO MAURÍLIO VIEIRA MENDES                        PPD/PSD.CDS-PP
Monte                                                     JOSÉ AGOSTINHO DE FREITAS BAPTISTA                  PPD/PSD.CDS-PP
Funchal (Santa Luzia)                                     TIAGO FILIPE TEIXEIRA ANDRADE RODRIGUES             PPD/PSD.CDS-PP

Região Autónoma da Madeira           Concelho de MACHICO
                         Freguesia                                                  Presidente                  Força política
Caniçal                                                    EMANUEL JORGE DA SILVA SANTOS         PS
Santo António da Serra                                     AURÉLIO VIEIRA GOUVEIA                PPD/PSD.CDS-PP
Água de Pena                                               DANIEL MAGNO CAETANO MENDONÇA         PS
Porto da Cruz                                              JOÃO PAULO MARQUES MENDES             PS
Machico                                                    PEDRO DAVID VIRÍSSIMO VIVEIROS        PS

Região Autónoma da Madeira          Concelho de PONTA DO SOL
                        Freguesia                                               Presidente                  Força política
Canhas                                                  JOÃO NORBERTO DA SILVA PITA          PPD/PSD.CDS-PP
Madalena do Mar                                         IVO MONIZ RIBEIRA                    PPD/PSD.CDS-PP
Ponta do Sol                                            JOÃO ANÍBAL SOUSA GARANITO           PPD/PSD.CDS-PP

Região Autónoma da Madeira          Concelho de PORTO MONIZ
                        Freguesia                               Presidente             Força política
Porto Moniz                                               -                                                    -
Ribeira da Janela                                         -                                                    -
Achadas da Cruz                                           -                                                    -
Seixal                                                    -                                                    -

Região Autónoma da Madeira          Concelho de PORTO SANTO
                        Freguesia                                             Presidente                  Força política
Porto Santo                                            LISETA MARIA DO NASCIMENTO          PPD/PSD.CDS-PP

Região Autónoma da Madeira          Concelho de RIBEIRA BRAVA
                        Freguesia                                                   Presidente                  Força política
Campanário                                                 JOÃO JOSÉ GONÇALVES                   PPD/PSD.CDS-PP
Ribeira Brava                                              JOÃO PEDRO GARCÊS MENDES CORREIA      DESCONHECIDO
Serra de Água                                              ALBERTINA DE JESUS DINIZ FERREIRA     PPD/PSD.CDS-PP
Tabua                                                     -                                                    -

Região Autónoma da Madeira           Concelho de SANTA CRUZ
                         Freguesia                              Presidente             Força política
Camacha                                                   -                                                    -
Santo António da Serra                                    -                                                    -
Santa Cruz                                                -                                                    -
